'CPT CODE RANGE','SURGERY FLAG'
'27814-27814','2'
'27822-27823','2'
'27826-27829','2'
'27832-27832','2'
'27842-27842','1'
'27846-27846','2'
'27848-27848','2'
'27870-27871','2'
'27880-27882','2'
'27884-27884','2'
'27886-27886','2'
'27888-27889','2'
'27892-27894','2'
'28001-28003','1'
'28005-28005','2'
'28008-28008','2'
'28010-28011','2'
'28020-28020','2'
'28022-28022','2'
'28024-28024','2'
'28030-28030','2'
'28035-28035','2'
'28039-28039','1'
'28041-28041','2'
'28043-28043','1'
'28045-28047','2'
'28050-28050','1'
'28052-28052','1'
'28054-28054','1'
'28055-28055','2'
'28060-28060','2'
'28062-28062','2'
'28070-28070','2'
'28072-28072','2'
'28080-28080','2'
'28086-28086','2'
'28088-28088','2'
'28090-28090','2'
'28092-28092','2'
'28100-28100','2'
'28102-28104','2'
'28106-28108','2'
'28110-28114','2'
'28116-28116','2'
'28118-28120','2'
'28122-28122','2'
'28124-28124','2'
'28126-28126','2'
'28130-28130','2'
'28140-28140','2'
'28150-28150','2'
'28153-28153','2'
'28160-28160','2'
'28171-28171','2'
'28173-28173','2'
'28175-28175','2'
'28190-28190','1'
'28192-28193','1'
'28200-28200','2'
'28202-28202','2'
'28208-28208','2'
'28210-28210','2'
'28220-28220','2'
'28222-28222','2'
'28225-28226','2'
'28230-28230','2'
'28232-28232','2'
'28234-28234','2'
'28238-28238','2'
'28240-28240','2'
'28250-28250','2'
'28260-28262','2'
'28264-28264','2'
'28270-28270','2'
'28272-28272','2'
'28280-28280','2'
'28285-28286','2'
'28288-28300','2'
'28302-28302','2'
'28304-28310','2'
'28312-28313','2'
'28315-28315','2'
'28320-28320','2'
'28322-28322','2'
'28340-28341','2'
'28344-28345','2'
'28360-28360','2'
'28406-28406','1'
'28415-28415','2'
'28420-28420','2'
'28436-28436','1'
'28445-28446','2'
'28456-28456','1'
'28465-28465','2'
'28476-28476','1'
'28485-28485','2'
'28496-28496','1'
'28505-28505','2'
'28525-28525','2'
'28531-28531','2'
'28546-28546','1'
'28555-28555','2'
'28576-28576','1'
'28585-28585','2'
'28606-28606','1'
'28615-28615','2'
'28636-28636','1'
'28645-28645','2'
'28666-28666','1'
'28675-28675','2'
'28705-28705','2'
'28715-28715','2'
'28725-28725','2'
'28730-28730','2'
'28735-28735','2'
'28737-28737','2'
'28740-28740','2'
'28750-28750','2'
'28755-28755','2'
'28760-28760','2'
'28800-28800','2'
'28805-28805','2'
'28810-28810','2'
'28820-28820','2'
'28825-28825','2'
'29800-29800','1'
'29804-29805','1'
'29806-29807','2'
'29819-29825','2'
'29827-29828','2'
'29830-29830','1'
'29834-29838','2'
'29840-29840','1'
'29843-29848','2'
'29850-29850','1'
'29851-29851','2'
'29855-29856','2'
'29860-29860','1'
'29861-29863','2'
'29866-29868','2'
'29870-29871','1'
'29873-29877','2'
'29879-29889','2'
'29891-29895','2'
'29897-29899','2'
'29900-29900','1'
'29901-29902','2'
'29904-29907','2'
'29914-29916','2'
'30000-30000','1'
'30020-30020','1'
'30110-30110','1'
'30115-30115','1'
'30117-30118','1'
'30120-30120','1'
'30124-30124','1'
'30125-30125','2'
'30130-30130','2'
'30140-30140','2'
'30150-30150','2'
'30160-30160','2'
'30300-30300','1'
'30310-30310','1'
'30320-30320','1'
'30400-30400','2'
'30410-30410','2'
'30420-30420','2'
'30430-30430','2'
'30435-30435','2'
'30450-30450','2'
'30460-30460','2'
'30462-30462','2'
'30465-30465','2'
'30520-30520','2'
'30540-30540','2'
'30545-30545','2'
'30560-30560','1'
'30580-30580','2'
'30600-30600','2'
'30620-30620','2'
'30630-30630','2'
'30915-30915','2'
'30920-30920','2'
'30930-30930','2'
'31020-31020','1'
'31030-31030','1'
'31032-31032','1'
'31040-31040','2'
'31050-31051','1'
'31070-31070','2'
'31075-31075','2'
'31080-31081','2'
'31084-31087','2'
'31090-31090','2'
'31200-31201','2'
'31205-31205','2'
'31225-31225','2'
'31230-31230','2'
'31237-31240','1'
'31254-31256','1'
'31267-31267','1'
'31276-31276','1'
'31287-31288','1'
'31290-31294','2'
'31295-31297','1'
'31300-31300','2'
'31320-31320','1'
'31360-31360','2'
'31365-31365','2'
'31367-31368','2'
'31370-31370','2'
'31375-31375','2'
'31380-31380','2'
'31382-31382','2'
'31390-31390','2'
'31395-31395','2'
'31400-31400','2'
'31420-31420','2'
'31510-31513','1'
'31515-31515','1'
'31527-31531','1'
'31535-31536','1'
'31540-31541','2'
'31545-31546','2'
'31551-31554','2'
'31560-31561','2'
'31570-31574','1'
'31576-31578','1'
'31580-31580','2'
'31582-31582','2'
'31584-31584','2'
'31587-31588','2'
'31590-31592','2'
'31595-31595','2'
'31600-31601','2'
'31603-31603','2'
'31605-31605','2'
'31610-31611','2'
'31612-31612','1'
'31613-31614','2'
'31625-31626','1'
'31628-31631','1'
'31634-31636','1'
'31638-31638','1'
'31640-31641','1'
'31643-31643','1'
'31645-31648','1'
'31660-31661','1'
'31730-31730','1'
'31750-31750','2'
'31755-31755','2'
'31760-31760','2'
'31766-31766','2'
'31770-31770','2'
'31775-31775','2'
'31780-31781','2'
'31785-31786','2'
'31800-31800','2'
'31805-31805','2'
'31820-31820','2'
'31825-31825','2'
'31830-31830','2'
'32035-32036','2'
'32095-32098','1'
'32100-32100','2'
'32110-32110','2'
'32120-32120','2'
'32124-32124','2'
'32140-32141','2'
'32150-32151','2'
'32160-32160','2'
'32200-32201','2'
'32215-32215','2'
'32220-32220','2'
'32225-32225','2'
'32310-32310','2'
'32320-32320','2'
'32402-32402','1'
'32440-32440','2'
'32442-32442','2'
'32445-32445','2'
'32480-32480','2'
'32482-32482','2'
'32484-32484','2'
'32486-32486','2'
'32488-32488','2'
'32491-32491','2'
'32500-32500','2'
'32503-32505','2'
'32540-32540','2'
'32550-32551','1'
'32553-32557','1'
'32601-32609','1'
'32650-32652','2'
'32653-32653','1'
'32654-32666','2'
'32669-32673','2'
'32800-32800','2'
'32810-32810','2'
'32815-32815','2'
'32820-32820','2'
