icd_cm,ver
'C9291',10
'C9292',10
'C92A0',10
'C92A1',10
'C92A2',10
'C92Z0',10
'C92Z1',10
'C92Z2',10
'C9300',10
'C9301',10
'C9302',10
'C9310',10
'C9311',10
'C9312',10
'C9330',10
'C9331',10
'C9332',10
'C9390',10
'C9391',10
'C9392',10
'C93Z0',10
'C93Z1',10
'C93Z2',10
'C9400',10
'C9401',10
'C9402',10
'C9420',10
'C9421',10
'C9422',10
'C9430',10
'C9431',10
'C9432',10
'C9440',10
'C9441',10
'C9442',10
'C946',10
'C9480',10
'C9481',10
'C9482',10
'C9500',10
'C9501',10
'C9502',10
'C9510',10
'C9511',10
'C9512',10
'C9590',10
'C9591',10
'C9592',10
'Z856',10
'2030',9
'20300',9
'20301',9
'20302',9
'2038',9
'20380',9
'20381',9
'20382',9
'C9000',10
'C9001',10
'C9002',10
'C9020',10
'C9021',10
'C9022',10
'C9030',10
'C9031',10
'C9032',10
'1640',9
'1641',9
'1642',9
'1643',9
'1648',9
'1649',9
'1760',9
'1761',9
'1762',9
'1763',9
'1764',9
'1765',9
'1768',9
'1769',9
'1900',9
'1901',9
'1902',9
'1903',9
'1904',9
'1905',9
'1906',9
'1907',9
'1908',9
'1909',9
'1940',9
'1941',9
'1943',9
'1944',9
'1945',9
'1946',9
'1948',9
'1949',9
'1951',9
'1952',9
'1953',9
'1954',9
'1955',9
'1958',9
'20230',9
'20231',9
'20232',9
'20233',9
'20234',9
'20235',9
'20236',9
'20237',9
'20238',9
'20250',9
'20251',9
'20252',9
'20253',9
'20254',9
'20255',9
'20256',9
'20257',9
'20258',9
'20260',9
'20261',9
'20262',9
'20263',9
'20264',9
'20265',9
'20266',9
'20267',9
'20268',9
'20922',9
'20925',9
'20926',9
'20927',9
'7951',9
'79510',9
'79511',9
'79512',9
'79513',9
'79514',9
'V1029',9
'V1081',9
'V1084',9
'V1088',9
'V1089',9
'V109',9
'V1090',9
'V1091',9
'V711',9
'C37',10
'C380',10
'C381',10
'C382',10
'C383',10
'C388',10
'C452',10
'C457',10
